Logo_1              "Presents"
Igm_Restart         "Restart"
Igm_BackToMM        "Main Menu"
Dead_Gearbox        "Gearbox busted!"
Dead_Engine         "Engine blown!"
Duel_Lost           "You lost!"
TimeAttack_Over     "Finished!"
Duel_Won            "You won!"
BestTime            "Best time: "
NewRecord           "New record!!!"
Title_1             "Radical"
Title_2             "Racing:"
Title_3             "Rivalry"
PressToCont         "Press any button"
No_Save1            "SD Card error"
No_Save2            "Saving disabled"
Wins                "Wins: "
Demo                "Demo"
